age,disease,sex,prevalence
67,chd,female,0.0478243
68,chd,female,0.0478243
69,chd,female,0.0478243
70,chd,female,0.0454423
71,chd,female,0.0454423
72,chd,female,0.0454423
73,chd,female,0.0454423
74,chd,female,0.0454423
75,chd,female,0.0754965
76,chd,female,0.0754965
77,chd,female,0.0754965
78,chd,female,0.0754965
79,chd,female,0.0754965
80,chd,female,0.1034039
81,chd,female,0.1034039
82,chd,female,0.1034039
83,chd,female,0.1034039
84,chd,female,0.1034039
85,chd,female,0.1003852
86,chd,female,0.1003852
87,chd,female,0.1003852
88,chd,female,0.1003852
89,chd,female,0.1003852
90,chd,female,0.1052931
91,chd,female,0.1052931
92,chd,female,0.1052931
93,chd,female,0.1052931
94,chd,female,0.1052931
95,chd,female,0.0731924
96,chd,female,0.0731924
97,chd,female,0.0731924
98,chd,female,0.0731924
99,chd,female,0.0731924
100,chd,female,0.0731924
50,str,female,0.0340084
51,str,female,0.0340084
52,str,female,0.0340084
53,str,female,0.0340084
54,str,female,0.0340084
55,str,female,0.0340084
56,str,female,0.0340084
57,str,female,0.0340084
58,str,female,0.0340084
59,str,female,0.0340084
60,str,female,0.0340084
61,str,female,0.0340084
62,str,female,0.0340084
63,str,female,0.0340084
64,str,female,0.0340084
65,str,female,0.0340084
66,str,female,0.0340084
67,str,female,0.0340084
68,str,female,0.0340084
69,str,female,0.0340084
70,str,female,0.0656123
71,str,female,0.0656123
72,str,female,0.0656123
73,str,female,0.0656123
74,str,female,0.0656123
75,str,female,0.0825245
76,str,female,0.0825245
77,str,female,0.0825245
78,str,female,0.0825245
79,str,female,0.0825245
80,str,female,0.0966827
81,str,female,0.0966827
82,str,female,0.0966827
83,str,female,0.0966827
84,str,female,0.0966827
85,str,female,0.1041038
86,str,female,0.1041038
87,str,female,0.1041038
88,str,female,0.1041038
89,str,female,0.1041038
90,str,female,0.1158458
91,str,female,0.1158458
92,str,female,0.1158458
93,str,female,0.1158458
94,str,female,0.1158458
95,str,female,0.0310059
96,str,female,0.0310059
97,str,female,0.0310059
98,str,female,0.0310059
99,str,female,0.0310059
100,str,female,0.0310059
